year,beginning_arr,new_arr,expansion_arr,contraction_arr,churn_arr,ending_arr,gross_retention_rate,net_retention_rate
2018,4930.5,1191245.66,0.0,0.0,-4930.5,1191245.66,0.0,0.0
2019,1191245.66,1851653.95,145761.51,-483211.35,-596265.91,2109183.86,0.0938,0.2162
2020,2109183.86,6109233.25,1584634.64,-135090.44,-1323569.56,8344391.75,0.3084,1.0597
2021,8344391.75,2127904.61,3676210.52,-1765538.61,-947204.41,11435763.86,0.6749,1.1155
2022,11435763.86,12234.3,641237.5,-1379910.48,-6464584.16,4244741.02,0.314,0.3701
2023,4244741.02,0.0,217911.5,-622706.64,-1742335.49,2097610.39,0.4428,0.4942
